Name,MarketCap,Stock,Country,Sector,Industry
Apple Inc.,$2.825 T,AAPL,United States,Technology,Consumer Electronics
Microsoft Corporation,$2.328 T,MSFT,United States,Technology,Software—Infrastructure
Saudi Arabian Oil Company,$2.297 T,2222,Saudi Arabia,Energy,Oil & Gas Integrated
Alphabet Inc.,$1.825 T,GOOG,United States,Communication Services,Internet Content & Information
"Amazon.com, Inc.",$1.642 T,AMZN,United States,Consumer Discretionary,Internet Retail
"Tesla, Inc.",$1.016 T,TSLA,United States,Consumer Discretionary,Auto Manufacturers
Berkshire Hathaway Inc.,$798.47 B,BRK.A,United States,Financials,Financial Conglomerates
Nvidia Corporation,$660.38 B,NVDA,United States,Technology,Semiconductors
"Meta Platforms, Inc.",$617.50 B,META,United States,Communication Services,Internet Content & Information
Taiwan Semiconductor Manufacturing Company Limited,$527.89 B,2330,Taiwan,Technology,Semiconductors
UnitedHealth Group Incorporated,$488.52 B,UNH,United States,Healthcare,Healthcare Plans
Visa Inc.,$486.77 B,V,United States,Financials,Credit Services
Johnson & Johnson,$475.93 B,JNJ,United States,Healthcare,Drug Manufacturers—General
Tencent Holdings Ltd,$441.17 B,0700,China,Communication Services,Internet Content & Information
Walmart Inc.,$429.05 B,WMT,United States,Consumer Staples,Discount Stores
JPMorgan Chase & Co.,$410.84 B,JPM,United States,Financials,Banks
The Procter & Gamble Company,$384.60 B,PG,United States,Consumer Staples,Household & Personal Products
"Samsung Electronics Co., Ltd.",$378.35 B,005930,South Korea,Technology,Consumer Electronics
"LVMH Moët Hennessy - Louis Vuitton, SE",$359.26 B,MC,France,Consumer Discretionary,Luxury Goods
Mastercard Incorporated,$358.60 B,MA,United States,Financials,Credit Services
Bank of America Corporation,$350.84 B,BAC,United States,Financials,Banks
Roche Holding AG,$349.50 B,ROG,Switzerland,Healthcare,Drug Manufacturers—General
Exxon Mobil Corporation,$348.72 B,XOM,United States,Energy,Oil & Gas Integrated
Kweichow Moutai Co. Ltd,$348.22 B,600519,China,Consumer Staples,Beverages—Wineries & Distilleries
"The Home Depot, Inc.",$321.47 B,HD,United States,Consumer Discretionary,Home Improvement Retail
Chevron Corporation,$315.13 B,CVX,United States,Energy,Oil & Gas Integrated
Pfizer Inc.,$300.79 B,PFE,United States,Healthcare,Drug Manufacturers—General
AbbVie Inc.,$294.27 B,ABBV,United States,Healthcare,Drug Manufacturers—General
Alibaba Group Holding Limited,$290.40 B,9988,China,Consumer Discretionary,Internet Retail
ASML Holding N.V.,$274.35 B,ASML,Netherlands,Technology,Semiconductor Equipment & Materials
The Coca-Cola Company,$273.20 B,KO,United States,Consumer Staples,Beverages—Non-Alcoholic
Eli Lilly and Company,$273.01 B,LLY,United States,Healthcare,Drug Manufacturers—General
Broadcom Inc.,$265.27 B,AVGO,United States,Technology,Semiconductors
Costco Wholesale Corporation,$258.15 B,COST,United States,Consumer Staples,Discount Stores
Novo Nordisk A/S,$257.24 B,NOVO.B,Denmark,Healthcare,Biotechnology
Industrial & Commercial Bank of China Ltd,$250.37 B,601398,China,Financials,Banks
The Walt Disney Company,$247.88 B,DIS,United States,Communication Services,Entertainment
"PepsiCo, Inc.",$241.05 B,PEP,United States,Consumer Staples,Beverages—Non-Alcoholic
"Cisco Systems, Inc.",$238.45 B,CSCO,United States,Technology,Communication Equipment
Thermo Fisher Scientific Inc.,$236.15 B,TMO,United States,Healthcare,Diagnostics & Research
Oracle Corporation,$228.18 B,ORCL,United States,Technology,Software—Infrastructure
L'Oréal SA,$225.24 B,OR,France,Consumer Staples,Household & Personal Products
Accenture plc,$219.03 B,ACN,Ireland,Technology,Information Technology Services
Comcast Corporation,$218.90 B,CMCSA,United States,Communication Services,Entertainment
Verizon Communications Inc.,$216.68 B,VZ,United States,Communication Services,Telecom Services
Abbott Laboratories,$215.02 B,ABT,United States,Healthcare,Medical Devices
"Nike, Inc.",$213.60 B,NKE,United States,Consumer Discretionary,Footwear & Accessories
BHP Group,$211.25 B,BHP,Australia,Basic Materials,Other Industrial Metals & Mining
"Merck & Co., Inc.",$210.38 B,MRK,United States,Healthcare,Drug Manufacturers—General
Danaher Corporation,$208.03 B,DHR,United States,Healthcare,Diagnostics & Research
Shell plc,$207.68 B,SHEL,United Kingdom,Energy,Oil & Gas Integrated
Novartis AG,$204.13 B,NOVN,Switzerland,Healthcare,Drug Manufacturers—General
AstraZeneca plc,$201.75 B,AZN,United Kingdom,Healthcare,Drug Manufacturers—General
Intel Corporation,$201.72 B,INTC,United States,Technology,Semiconductors
Wells Fargo & Company,$200.01 B,WFC,United States,Financials,Banks
Adobe Inc.,$199.57 B,ADBE,United States,Technology,Software—Infrastructure
"salesforce.com, inc.",$193.80 B,CRM,United States,Technology,Software—Application
"United Parcel Service, Inc.",$190.50 B,UPS,United States,Industrials,Integrated Freight & Logistics
China Construction Bank Corp,$189.37 B,601939,China,Financials,Banks
McDonald's Corporation,$186.57 B,MCD,United States,Consumer Discretionary,Restaurants
China Merchants Bank Co Ltd,$185.98 B,600036,China,Financials,Banks
Contemporary Amperex Technology Co. Ltd,$185.67 B,300750,China,Industrials,Electrical Equipment & Parts
Union Pacific Corporation,$184.19 B,UNP,United States,Industrials,Railroads
AT&T Inc.,$175.88 B,T,United States,Communication Services,Telecom Services
Qualcomm Incorporated,$172.25 B,QCOM,United States,Technology,Semiconductors
Texas Instruments Incorporated,$171.28 B,TXN,United States,Technology,Semiconductors
Bristol-Myers Squibb Company,$170.56 B,BMY,United States,Healthcare,Drug Manufacturers—General
Prosus N.V.,$170.00 B,PRX,Netherlands,Communication Services,Internet Content & Information
Linde plc,$166.07 B,LIN,United Kingdom,Basic Materials,Specialty Chemicals
"NextEra Energy, Inc.",$165.53 B,NEE,United States,Utilities,Utilities—Regulated Electric
Agricultural Bank of China Ltd,$165.00 B,601288,China,Financials,Banks
"T-Mobile US, Inc.",$164.31 B,TMUS,United States,Communication Services,Telecom Services
Morgan Stanley,$164.05 B,MS,United States,Financials,Capital Markets
"Netflix, Inc.",$163.19 B,NFLX,United States,Communication Services,Entertainment
Royal Bank of Canada,$159.74 B,RY,Canada,Financials,Banks
The Charles Schwab Corporation,$158.06 B,SCHW,United States,Financials,Capital Markets
Philip Morris International Inc.,$154.71 B,PM,United States,Consumer Staples,Tobacco
Medtronic plc,$151.06 B,MDT,Ireland,Healthcare,Medical Devices
Raytheon Technologies Corporation,$150.96 B,RTX,United States,Industrials,Aerospace & Defense
American Express Company,$150.76 B,AXP,United States,Financials,Credit Services
Hermès International SCA,$148.98 B,RMS,France,Consumer Discretionary,Luxury Goods
Toronto-Dominion Bank,$145.41 B,TD,Canada,Financials,Banks
PetroChina Company Limited,$144.50 B,601857,China,Energy,Oil & Gas Integrated
Commonwealth Bank of Australia,$144.32 B,CBA,Australia,Financials,Banks
"Lowe's Companies, Inc.",$143.77 B,LOW,United States,Consumer Discretionary,Home Improvement Retail
Amgen Inc.,$141.72 B,AMGN,United States,Healthcare,Drug Manufacturers—General
Bank of China Ltd,$141.22 B,601988,China,Financials,Banks
HSBC Holdings plc,$140.15 B,HSBA,United Kingdom,Financials,Banks
China Mobile Ltd,$139.30 B,0941,Hong Kong,Communication Services,Telecom Services
TotalEnergies SE,$137.50 B,TTE,France,Energy,Oil & Gas Integrated
Honeywell International Inc.,$136.48 B,HON,United States,Industrials,Specialty Industrial Machinery
ConocoPhillips,$136.32 B,COP,United States,Energy,Oil & Gas E&P
CVS Health Corporation,$135.27 B,CVS,United States,Healthcare,Healthcare Plans
Ping An Insurance (Group) Company of China Ltd,$134.25 B,601318,China,Financials,Insurance—Life
SAP SE,$134.19 B,SAP,Germany,Technology,Software—Application
"PayPal Holdings, Inc.",$133.92 B,PYPL,United States,Financials,Credit Services
Sanofi,$132.29 B,SAN,France,Healthcare,Drug Manufacturers—General
Deere & Company,$130.31 B,DE,United States,Industrials,Farm & Heavy Construction Machinery
"Advanced Micro Devices, Inc.",$128.29 B,AMD,United States,Technology,Semiconductors
Intuit Inc.,$126.77 B,INTU,United States,Technology,Software—Application
Sony Group Corporation,$126.64 B,6758,Japan,Technology,Consumer Electronics
Rio Tinto Group,$125.84 B,RIO,United Kingdom,Basic Materials,Other Industrial Metals & Mining
AIA Group Ltd,$125.16 B,1299,Hong Kong,Financials,Insurance—Life
Lockheed Martin Corporation,$124.98 B,LMT,United States,Industrials,Aerospace & Defense
Caterpillar Inc.,$124.13 B,CAT,United States,Industrials,Farm & Heavy Construction Machinery
Anheuser-Busch InBev SA/NV,$123.59 B,ABI,Belgium,Consumer Staples,Beverages—Brewers
Equinor ASA,$122.74 B,EQNR,Norway,Energy,Oil & Gas Integrated
Christian Dior SE,$122.11 B,CDI,France,Consumer Discretionary,Luxury Goods
"Prologis, Inc.",$121.20 B,PLD,United States,Real Estate,REIT—Industrial
"Applied Materials, Inc.",$121.12 B,AMAT,United States,Technology,Semiconductor Equipment & Materials
"Anthem, Inc.",$119.80 B,ANTM,United States,Healthcare,Healthcare Plans
International Business Machines Corporation,$119.20 B,IBM,United States,Technology,Information Technology Services
Unilever plc,$117.84 B,ULVR,United Kingdom,Consumer Staples,Household & Personal Products
"BlackRock, Inc.",$115.98 B,BLK,United States,Financials,Asset Management
HDFC Bank Limited,$115.68 B,HDB,India,Financials,Banks
Diageo plc,$115.58 B,DGE,United Kingdom,Consumer Staples,Beverages—Wineries & Distilleries
American Tower Corporation (REIT),$115.11 B,AMT,United States,Real Estate,REIT—Specialty
Siemens AG,$114.66 B,SIE,Germany,Industrials,Specialty Industrial Machinery
Meituan,$114.28 B,3690,China,Consumer Discretionary,Internet Retail
Keyence Corp,$113.20 B,6861,Japan,Technology,Scientific & Technical Instruments
"The Goldman Sachs Group, Inc.",$112.71 B,GS,United States,Financials,Capital Markets
Transurban Group,$110.79 B,TCL,Australia,Industrials,Infrastructure Operations
"Industria de Diseño Textil, SA",$110.65 B,ITX,Spain,Consumer Discretionary,Apparel Retail
The Boeing Company,$110.46 B,BA,United States,Industrials,Aerospace & Defense
GlaxoSmithKline plc,$109.98 B,GSK,United Kingdom,Healthcare,Drug Manufacturers—General
Citigroup Inc.,$109.56 B,C,United States,Financials,Banks
Volkswagen AG,$108.63 B,VOW3,Germany,Consumer Discretionary,Auto Manufacturers
Starbucks Corporation,$108.19 B,SBUX,United States,Consumer Discretionary,Restaurants
Vale SA,$107.99 B,VALE3,Brazil,Basic Materials,Other Industrial Metals & Mining
"ServiceNow, Inc.",$107.99 B,NOW,United States,Technology,Software—Application
Target Corporation,$106.89 B,TGT,United States,Consumer Staples,Discount Stores
Infosys Limited,$106.77 B,INFY,India,Technology,Information Technology Services
Al Rajhi Banking and Investment Corp,$106.37 B,1120,Saudi Arabia,Financials,Banks
"Airbnb, Inc.",$105.07 B,ABNB,United States,Communication Services,Internet Content & Information
"Charter Communications, Inc.",$104.97 B,CHTR,United States,Communication Services,Entertainment
BYD Co Ltd,$104.42 B,002594,China,Consumer Discretionary,Auto Manufacturers
Saudi Basic Industries Corp,$104.00 B,2010,Saudi Arabia,Basic Materials,Chemicals
Nippon Telegraph & Telephone Corp,$103.75 B,9432,Japan,Communication Services,Telecom Services
"Altria Group, Inc.",$102.98 B,MO,United States,Consumer Staples,Tobacco
British American Tobacco plc,$101.44 B,BATS,United Kingdom,Consumer Staples,Tobacco
Stryker Corporation,$101.41 B,SYK,United States,Healthcare,Medical Devices
S&P Global Inc.,$100.84 B,SPGI,United States,Financials,Financial Data & Stock Exchanges
The Estée Lauder Companies Inc.,$100.16 B,EL,United States,Consumer Staples,Household & Personal Products
General Electric Company,$99.22 B,GE,United States,Industrials,Specialty Industrial Machinery
Daimler AG,$98.79 B,DAI,Germany,Consumer Discretionary,Auto Manufacturers
Chubb Limited,$98.57 B,CB,Switzerland,Financials,Insurance—Property & Casualty
Allianz SE,$98.47 B,ALV,Germany,Financials,Insurance—Diversified
Petróleo Brasileiro S.A. - Petrobras,$98.37 B,PBR,Brazil,Energy,Oil & Gas Integrated
Airbus SE,$97.41 B,AIR,Netherlands,Industrials,Aerospace & Defense
China Life Insurance Company Limited,$97.31 B,LFC,China,Financials,Insurance—Life
"Automatic Data Processing, Inc.",$96.98 B,ADP,United States,Industrials,Staffing & Employment Services
BP plc,$96.24 B,BP.,United Kingdom,Energy,Oil & Gas Integrated
China Shenhua Energy Company Ltd,$95.34 B,601088,China,Energy,Thermal Coal
Booking Holdings Inc.,$95.02 B,BKNG,United States,Consumer Discretionary,Travel Services
Canadian National Railway Company,$94.96 B,CNR,Canada,Industrials,Railroads
Enbridge Inc.,$94.94 B,ENB,Canada,Energy,Oil & Gas Midstream
Schneider Electric SE,$94.34 B,SU,France,Industrials,Specialty Industrial Machinery
Deutsche Telekom AG,$93.01 B,DTE,Germany,Communication Services,Telecom Services
MERCK Kommanditgesellschaft auf Aktien,$90.74 B,MRK,Germany,Healthcare,Drug Manufacturers—Specialty & Generic
"Mondelez International, Inc.",$90.67 B,MDLZ,United States,Consumer Staples,Confectioners
"JD.com, Inc.",$90.46 B,9618,China,Consumer Discretionary,Internet Retail
Vulcan International Corp,$90.34 B,VULC,United States,Basic Materials,Chemicals
Zoetis Inc.,$89.82 B,ZTS,United States,Healthcare,Drug Manufacturers—Specialty & Generic
CSL Limited,$89.69 B,CSL,Australia,Healthcare,Biotechnology
3M Company,$88.77 B,MMM,United States,Industrials,Specialty Industrial Machinery
Duke Energy Corporation,$88.76 B,DUK,United States,Utilities,Utilities—Regulated Electric
Bank of Nova Scotia,$87.76 B,BNS,Canada,Financials,Banks
The Blackstone Group Inc.,$87.64 B,BX,United States,Financials,Asset Management
Brookfield Asset Management Inc.,$87.46 B,BAM.A,Canada,Financials,Asset Management
Glencore plc,$87.31 B,GLEN,Switzerland,Basic Materials,Other Industrial Metals & Mining
CME Group Inc.,$87.17 B,CME,United States,Financials,Financial Data & Stock Exchanges
"Marsh & McLennan Companies, Inc.",$87.16 B,MMC,United States,Financials,Insurance Brokers
"Micron Technology, Inc.",$86.49 B,MU,United States,Technology,Semiconductors
"Mitsubishi UFJ Financial Group, Inc.",$85.03 B,8306,Japan,Financials,Banks
Cigna Corporation,$84.67 B,CI,United States,Healthcare,Healthcare Plans
Shopify Inc.,$83.80 B,SHOP,Canada,Technology,Software—Application
Air Liquide SA,$83.24 B,AI,France,Basic Materials,Chemicals
"HCA Healthcare, Inc.",$82.60 B,HCA,United States,Healthcare,Medical Care Facilities
National Australia Bank Limited,$81.03 B,NAB,Australia,Financials,Banks
Crown Castle International Corp. (REIT),$80.92 B,CCI,United States,Real Estate,REIT—Specialty
EssilorLuxottica SA,$80.49 B,EL,France,Healthcare,Medical Instruments & Supplies
U.S. Bancorp,$80.16 B,USB,United States,Financials,Banks
Tokyo Electron Ltd,$79.62 B,8035,Japan,Technology,Semiconductor Equipment & Materials
Bank of Montreal,$79.22 B,BMO,Canada,Financials,Banks
Kering SA,$78.66 B,KER,France,Consumer Discretionary,Luxury Goods
China Yangtze Power Co. Ltd,$78.42 B,600900,China,Utilities,Utilities—Independent Power Producers
China Petroleum & Chemical Corporation,$78.39 B,600028,China,Energy,Oil & Gas Integrated
The Southern Company,$78.38 B,SO,United States,Utilities,Utilities—Regulated Electric
Lam Research Corporation,$77.60 B,LRCX,United States,Technology,Semiconductor Equipment & Materials
"The PNC Financial Services Group, Inc.",$77.10 B,PNC,United States,Financials,Banks
"Becton, Dickinson and Company",$76.98 B,BDX,United States,Healthcare,Medical Instruments & Supplies
"Gilead Sciences, Inc.",$76.15 B,GILD,United States,Healthcare,Drug Manufacturers—General
"Regeneron Pharmaceuticals, Inc.",$74.91 B,REGN,United States,Healthcare,Biotechnology
Truist Financial Corporation,$74.79 B,TFC,United States,Financials,Banks
Canadian Natural Resources Limited,$74.78 B,CNQ,Canada,Energy,Oil & Gas E&P
"Intercontinental Exchange, Inc.",$74.17 B,ICE,United States,Financials,Financial Data & Stock Exchanges
"The TJX Companies, Inc.",$73.99 B,TJX,United States,Consumer Discretionary,Apparel Retail
Atlassian Corporation Plc,$73.72 B,TEAM,Australia,Technology,Software—Application
Zurich Insurance Group AG,$73.58 B,ZURN,Switzerland,Financials,Insurance—Diversified
Edwards Lifesciences Corporation,$73.38 B,EW,United States,Healthcare,Medical Devices
Aon Plc,$73.33 B,AON,United Kingdom,Financials,Insurance Brokers
Northrop Grumman Corporation,$73.25 B,NOC,United States,Industrials,Aerospace & Defense
KDDI Corp,$73.12 B,9433,Japan,Communication Services,Telecom Services
Norfolk Southern Corporation,$72.31 B,NSC,United States,Industrials,Railroads
Freeport-McMoRan Inc.,$72.16 B,FCX,United States,Basic Materials,Copper
Wal-Mart de Mexico SAB de CV,$71.96 B,WALMEX,Mexico,Consumer Staples,Discount Stores
PT Bank Central Asia Tbk,$71.91 B,BBCA,Indonesia,Financials,Banks
"EOG Resources, Inc.",$71.90 B,EOG,United States,Energy,Oil & Gas E&P
Siemens Healthineers AG,$71.50 B,SHL,Germany,Healthcare,Diagnostics & Research
Anglo American plc,$71.48 B,AAL,United Kingdom,Basic Materials,Other Industrial Metals & Mining
"Moderna, Inc.",$70.81 B,MRNA,United States,Healthcare,Biotechnology
General Dynamics Corporation,$70.55 B,GD,United States,Industrials,Aerospace & Defense
AXA SA,$70.20 B,CS,France,Financials,Insurance—Diversified
"Dominion Energy, Inc.",$70.20 B,D,United States,Utilities,Utilities—Diversified
Enel SpA,$70.15 B,ENEL,Italy,Utilities,Utilities—Diversified
BNP Paribas SA,$69.90 B,BNP,France,Financials,Banks
"América Móvil, S.A.B. de C.V.",$69.45 B,AMXA,Mexico,Communication Services,Telecom Services
Public Storage,$69.31 B,PSA,United States,Real Estate,REIT—Industrial
UBS Group AG,$68.93 B,UBSG,Switzerland,Financials,Banks
Sberbank of Russia PJSC,$68.69 B,SBER,Russia,Financials,Banks
"Fiserv, Inc.",$68.68 B,FISV,United States,Technology,Information Technology Services
"Iberdrola, SA",$68.23 B,IBE,Spain,Utilities,Utilities—Diversified
Recruit Holdings Co Ltd,$68.11 B,6098,Japan,Industrials,Staffing & Employment Services
Bayer AG,$68.09 B,BAYN,Germany,Healthcare,Drug Manufacturers—General
The Sherwin-Williams Company,$67.54 B,SHW,United States,Basic Materials,Specialty Chemicals
Vertex Pharmaceuticals Incorporated,$67.49 B,VRTX,United States,Healthcare,Biotechnology
Illinois Tool Works Inc.,$67.49 B,ITW,United States,Industrials,Specialty Industrial Machinery
The Progressive Corporation,$67.31 B,PGR,United States,Financials,Insurance—Property & Casualty
Westpac Banking Corporation,$67.20 B,WBC,Australia,Financials,Banks
ABB Ltd,$67.19 B,ABBN,Switzerland,Industrials,Electrical Equipment & Parts
"Waste Management, Inc.",$66.95 B,WM,United States,Industrials,Waste Management
Industrial Bank Co. Ltd,$66.87 B,601166,China,Financials,Banks
DBS Group Holdings Ltd,$66.74 B,D05,Singapore,Financials,Banks
ICICI Bank Limited,$66.62 B,IBN,India,Financials,Banks
"Equinix, Inc. (REIT)",$66.35 B,EQIX,United States,Real Estate,REIT—Specialty
Newmont Corporation,$65.89 B,NEM,United States,Basic Materials,Gold
Ford Motor Company,$65.74 B,F,United States,Consumer Discretionary,Auto Manufacturers
Colgate-Palmolive Company,$65.64 B,CL,United States,Consumer Staples,Household & Personal Products
Exelon Corporation,$65.53 B,EXC,United States,Utilities,Utilities—Diversified
Snowflake Inc.,$65.04 B,SNOW,United States,Technology,Software—Application
Oriental Land Co. Ltd,$64.66 B,4661,Japan,Consumer Discretionary,Leisure
"SK hynix, Inc.",$64.60 B,000660,South Korea,Technology,Semiconductors
AP Moller - Maersk A-S,$64.40 B,MAERSK.B,Denmark,Industrials,Marine Shipping
Shin-Etsu Chemical Co Ltd,$63.43 B,4063,Japan,Basic Materials,Chemicals
FedEx Corporation,$63.25 B,FDX,United States,Industrials,Integrated Freight & Logistics
Boston Scientific Corporation,$63.08 B,BSX,United States,Healthcare,Medical Devices
PacifiCorp,$62.87 B,PPWLM,United States,Utilities,Utilities—Diversified
Dassault Systèmes SE,$62.75 B,DSY,France,Technology,Software—Application
"MetLife, Inc.",$62.69 B,MET,United States,Financials,Insurance—Life
General Motors Company,$62.69 B,GM,United States,Consumer Discretionary,Auto Manufacturers
